,InvoiceID,Date,ProductID,TotalSales,Discount,CustomerID,Quantity
0,328,27-12-2019,1684,796.610169,143.389831,185,4
1,329,27-12-2019,524,355.932203,64.067797,185,2
2,330,27-12-2019,192,901.694915,162.305085,230,4
3,330,27-12-2019,218,182.754237,32.895763,230,1
4,330,27-12-2019,247,780.101695,140.418305,230,4
5,330,27-12-2019,252,1123.966102,202.313898,230,4
6,330,27-12-2019,486,1251.084746,225.195254,230,4
7,330,27-12-2019,487,805.084746,144.915254,230,2
8,330,27-12-2019,1793,1175.423729,211.576271,230,4
9,330,27-12-2019,975,966.101695,173.898305,230,4
10,330,27-12-2019,1649,512.033898,92.166102,230,2
11,330,27-12-2019,1559,2850,513,230,4
12,331,27-12-2019,1909,3053.38983,549.61017,458,3
13,332,28-12-2019,1468,1423.728814,256.271186,267,4
14,333,28-12-2019,525,747.457627,134.542373,424,4
15,334,28-12-2019,527,1288.135593,231.864407,420,8
16,334,28-12-2019,531,1389.830508,250.169492,420,8
17,334,28-12-2019,582,1322.033898,237.966102,420,4
18,334,28-12-2019,559,3305.084746,594.915254,420,20
19,334,28-12-2019,563,3813.559322,686.440678,420,20
20,334,28-12-2019,493,1118.644068,201.355932,420,8
21,334,28-12-2019,501,1423.728814,256.271186,420,8
22,334,28-12-2019,1475,711.864407,128.135593,420,4
23,334,28-12-2019,1842,3474.576271,625.423729,420,20
24,335,28-12-2019,158,2474.576271,445.423729,492,4
25,336,28-12-2019,527,1423.728814,256.271186,129,8
26,336,28-12-2019,525,745.762712,134.237288,129,4
27,337,28-12-2019,536,917.79661,165.20339,80,4
28,338,28-12-2019,576,500,90,344,2
29,339,28-12-2019,572,1155.932203,208.067797,424,4
30,340,28-12-2019,1498,389.830508,70.169492,254,2
31,341,28-12-2019,536,946.779661,170.420339,54,4
32,341,28-12-2019,530,913.559322,164.440678,54,4
33,341,28-12-2019,499,847.118644,152.481356,54,4
34,342,28-12-2019,1498,714.237288,128.562712,254,4
35,342,28-12-2019,1789,432.20339,77.79661,254,2
36,343,28-12-2019,527,745.762712,134.237288,17,4
37,344,28-12-2019,543,1728.813559,311.186441,465,12
38,345,28-12-2019,576,500,90,344,2
39,346,28-12-2019,1775,1117.186441,201.093559,218,4
40,347,28-12-2019,536,915.254237,164.745763,185,4
41,348,28-12-2019,890,301.694915,54.305085,230,1
42,348,28-12-2019,252,1014.40678,182.59322,230,4
43,348,28-12-2019,192,901.694915,162.305085,230,4
44,348,28-12-2019,189,837.288136,150.711864,230,4
45,348,28-12-2019,98,1626.271186,292.728814,230,4
46,348,28-12-2019,115,524.110169,94.339831,230,1
47,348,28-12-2019,1704,4186.440678,753.559322,230,4
48,348,28-12-2019,1793,1172.881356,211.118644,230,4
49,348,28-12-2019,1470,3288.135593,591.864407,230,4
50,348,28-12-2019,975,966.101695,173.898305,230,4
51,349,30-12-2019,1913,1288.135593,231.864407,117,2
52,350,30-12-2019,162,742.372881,133.627119,458,2
53,351,30-12-2019,248,415.254237,74.745763,44,2
54,351,30-12-2019,218,728.813559,131.186441,44,4
55,352,30-12-2019,975,932.20339,167.79661,260,4
56,353,30-12-2019,975,932.20339,167.79661,260,4
57,354,30-12-2019,247,207.627119,37.372881,448,1
58,355,30-12-2019,531,756.779661,136.220339,181,4
59,356,30-12-2019,1126,3203.38983,576.61017,254,4
60,357,30-12-2019,1848,747.525424,134.554576,125,1
61,358,30-12-2019,1793,15042.37288,2707.627119,458,50
62,359,30-12-2019,527,1423.728814,256.271186,250,8
63,359,30-12-2019,525,728.813559,131.186441,250,4
64,359,30-12-2019,501,1559.322034,280.677966,250,8
65,360,30-12-2019,247,1481.355932,266.644068,506,8
66,361,30-12-2019,1396,1483.050847,266.949153,357,5
67,362,30-12-2019,22,1355.932203,244.067797,454,4
68,363,30-12-2019,576,1050.847458,189.152542,250,4
69,364,30-12-2019,524,1355.932203,244.067797,506,8
70,365,30-12-2019,24,453.372881,81.607119,25,2
71,366,30-12-2019,521,338.983051,61.016949,394,2
72,367,30-12-2019,527,711.864407,128.135593,317,4
73,367,30-12-2019,532,932.20339,167.79661,317,4
74,368,30-12-2019,882,415.254237,74.745763,126,2
75,369,30-12-2019,912,281.779661,50.720339,230,1
76,369,30-12-2019,804,4347.457627,782.542373,230,4
77,369,30-12-2019,113,774.491525,139.408475,230,2
78,369,30-12-2019,140,757.576271,136.363729,230,3
79,369,30-12-2019,186,1085.254237,195.345763,230,4
80,369,30-12-2019,192,901.694915,162.305085,230,4
81,369,30-12-2019,192,450.847458,81.152542,230,2
82,369,30-12-2019,251,898.474576,161.725424,230,4
83,369,30-12-2019,251,871.898305,156.941695,230,4
84,369,30-12-2019,492,1666.525424,299.974576,230,2
85,369,30-12-2019,217,2141.525424,385.474576,230,4
86,369,30-12-2019,215,1280.067797,230.412203,230,4
